mass,z
11.19027,0.110811
11.537049,0.171366
10.56246,0.078714
11.286609,0.173659
10.53852,0.091115
11.204469,0.121762
11.33072,0.080208
11.220449,0.142361
11.1074,0.141587
11.165961,0.123138
10.7017,0.0955
11.34904,0.13717
11.37096,0.141841
10.57878,0.094867
11.121081,0.11396
11.296129,0.110378
10.846609,0.072989
10.677381,0.095789
11.31452,0.164304
11.38911,0.180026
10.834439,0.051946
11.35662,0.098216
11.34414,0.173528
11.49088,0.132648
10.868051,0.086117
11.31789,0.11621
10.74566,0.051316
11.22937,0.144525
11.044809,0.050732
11.22859,0.143816
10.70038,0.099826
10.68014,0.045086
10.883221,0.066164
10.66259,0.050269
10.92796,0.089662
10.94098,0.090519
11.33713,0.088837
11.3196,0.178361
11.339709,0.176836
11.38768,0.173278
11.24234,0.065716
10.81299,0.086409
11.40528,0.083988
11.50794,0.185242
11.03388,0.146786
11.63337,0.187588
10.902559,0.085028
11.439419,0.165384
11.25342,0.119144
11.192921,0.106717
11.369141,0.118237
10.681841,0.092549
11.077499,0.144625
11.536099,0.141944
10.696429,0.043128
11.18551,0.044431
11.249509,0.040626
11.06573,0.110711
11.249529,0.14678
11.33466,0.111008
10.65411,0.072
11.35749,0.151505
11.21095,0.046229
10.611801,0.060036
10.50129,0.052802
10.55562,0.093281
10.972849,0.052801
11.176629,0.061363
10.84426,0.076334
11.06523,0.076287
11.225241,0.081281
11.16563,0.145279
11.611081,0.144819
11.38478,0.140793
10.78574,0.076174
11.28588,0.127343
11.321731,0.167208
11.09595,0.127937
10.770639,0.077373
11.3736,0.163041
10.7088,0.059927
10.655271,0.050234
11.33916,0.180335
11.33702,0.166551
10.68817,0.081792
10.870429,0.040966
11.00877,0.134552
11.282889,0.08487
10.51533,0.093293
11.322741,0.169128
11.621011,0.175808
10.76523,0.08321
11.15906,0.132766
10.53982,0.052475
10.744679,0.078005
11.07593,0.12028
11.470569,0.052653
10.62667,0.077631
10.63351,0.094931
10.67098,0.053353
10.761101,0.084444
10.75007,0.073296
10.85863,0.042012
11.037469,0.063552
10.782629,0.076394
11.10921,0.145964
11.13305,0.143541
10.532789,0.084386
11.036439,0.14477
10.63835,0.074829
10.99373,0.076378
10.91819,0.076596
10.729429,0.076659
10.775789,0.077017
11.2339,0.123504
11.311931,0.186857
10.786889,0.04172
11.170489,0.077027
11.34006,0.176729
11.34115,0.144001
11.17342,0.132409
11.0505,0.071357
11.438449,0.184147
11.611941,0.184284
10.740459,0.044744
11.62145,0.188149
11.3752,0.13106
10.96883,0.077026
11.402399,0.145617
11.086189,0.144587
11.07202,0.116789
11.435659,0.185608
11.06033,0.084856
11.198381,0.108155
10.668881,0.098591
10.60966,0.09905
11.285419,0.07117
11.111171,0.087329
11.313881,0.131492
11.413361,0.158712
11.39545,0.157562
11.64696,0.185232
11.24313,0.052196
10.652341,0.094354
10.669181,0.025664
11.70116,0.156687
11.50819,0.184948
10.698171,0.09657
11.406629,0.165899
11.355141,0.160291
11.05845,0.129364
10.716849,0.081848
11.332669,0.174222
10.677429,0.090555
11.289429,0.097761
11.28337,0.099372
11.294849,0.132937
10.54638,0.090522
11.11699,0.128263
11.345341,0.159829
11.00191,0.127685
11.137609,0.140868
10.927509,0.049012
10.623621,0.081849
11.335569,0.172803
11.42002,0.186721
11.118161,0.066092
11.5752,0.165247
11.0695,0.131598
10.981629,0.083312
11.410589,0.167829
11.10061,0.137848
11.55711,0.156573
10.71787,0.098406
11.07936,0.132314
10.576269,0.079358
11.366429,0.132581
11.04172,0.106347
10.69263,0.065208
11.03373,0.125652
10.82349,0.08928
11.21929,0.088783
10.673409,0.087688
11.51703,0.162199
10.555361,0.06632
10.8763,0.076938
11.33939,0.176179
10.55171,0.084333
10.737629,0.096363
11.32617,0.143068
10.952009,0.096154
11.27362,0.069789
11.046679,0.138106
11.056109,0.064454
11.45526,0.175417
10.834409,0.094301
11.393281,0.096733
10.62985,0.081964
10.80501,0.097397
11.23868,0.08161
11.42246,0.081743
11.45348,0.132031
10.67802,0.064986
10.901549,0.053096
11.17412,0.130929
10.514449,0.0784
11.239689,0.113786
11.40916,0.114994
11.15217,0.077533
11.17503,0.113341
10.510981,0.066222
10.824409,0.079717
10.67583,0.096599
11.13381,0.128797
11.276109,0.176705
11.45035,0.079499
10.80232,0.080586
10.60635,0.092006
11.5046,0.108239
11.01309,0.109857
11.08772,0.140807
11.235569,0.142404
11.111991,0.142009
11.673841,0.198138
11.586129,0.137006
10.92556,0.052148
10.87992,0.053115
10.91376,0.097576
10.698161,0.09979
10.728621,0.043977
10.52413,0.045454
10.721661,0.085998
11.37577,0.18451
11.28146,0.13758
11.03216,0.084018
11.131801,0.094343
11.145081,0.092418
11.410569,0.174779
11.27214,0.164515
10.61741,0.093903
10.621661,0.090422
11.150681,0.050479
10.72983,0.095302
10.81493,0.084749
10.641621,0.095927
11.643881,0.19938
11.191441,0.138397
11.28871,0.189085
10.55372,0.084976
10.51777,0.068434
10.91322,0.074902
11.02879,0.05274
11.2131,0.098957
11.122661,0.138263
11.30347,0.053183
11.51715,0.145201
10.68233,0.093369
10.79094,0.030238
11.28306,0.149337
11.03126,0.143546
10.717489,0.032367
11.364409,0.147189
11.712669,0.198225
11.07938,0.143601
11.391911,0.144183
11.56644,0.196641
10.989549,0.071086
10.84497,0.081961
11.24724,0.082191
10.718221,0.082709
10.625251,0.082544
10.67289,0.082938
10.58358,0.082246
11.13074,0.145972
11.24298,0.145576
10.779829,0.074627
10.63914,0.061467
10.59093,0.083823
11.06633,0.147345
10.64349,0.080864
10.67539,0.084169
10.84472,0.079855
10.714809,0.069884
10.61201,0.033146
11.5668,0.179688
10.97086,0.051751
11.291161,0.111687
11.2303,0.134321
11.18177,0.023369
10.727261,0.089919
10.51221,0.091157
10.59897,0.090399
11.08313,0.120948
10.67575,0.07762
11.60621,0.191183
11.39984,0.154857
10.900539,0.077071
11.42561,0.132177
11.28595,0.132439
11.266749,0.151616
11.320901,0.132305
10.534809,0.095728
10.797509,0.079451
11.668901,0.178309
11.53922,0.179911
11.40588,0.173179
11.25089,0.168308
10.869961,0.066481
10.59319,0.028661
11.67635,0.180322
11.63169,0.161371
11.05635,0.142163
11.274749,0.18023
11.11681,0.140865
11.480669,0.179356
11.372429,0.1398
11.44712,0.162979
11.42793,0.139993
10.870529,0.093686
10.75308,0.069741
10.959559,0.092814
11.06879,0.120493
11.26688,0.181597
10.993999,0.081245
11.5371,0.184715
10.761341,0.078244
11.17007,0.078867
11.160521,0.103831
10.721161,0.054138
11.01781,0.052344
10.52589,0.083611
11.38287,0.185322
11.42972,0.087688
10.64797,0.087675
11.407429,0.168509
11.39007,0.185149
10.66363,0.087891
11.31948,0.101482
11.34566,0.183552
10.629271,0.080985
11.3495,0.165777
11.00628,0.132928
11.262609,0.159332
11.31744,0.159065
10.804049,0.060842
11.37853,0.16304
11.31933,0.160365
10.73183,0.048609
11.08089,0.122145
10.5106,0.047918
11.49025,0.164313
11.354569,0.133892
11.364861,0.174308
11.1897,0.136244
11.41875,0.171401
11.091941,0.140949
11.70522,0.16504
11.02956,0.134266
11.19552,0.13244
10.576719,0.07074
11.16545,0.148752
10.75527,0.069813
11.626,0.126585
11.23114,0.104525
11.061661,0.110068
11.41193,0.112549
11.015961,0.126815
11.10421,0.126046
11.06767,0.116627
10.628571,0.094267
11.00583,0.145084
10.91187,0.084747
10.55769,0.063244
11.372789,0.096198
10.52005,0.062541
10.67427,0.045502
11.11699,0.118115
10.82946,0.064486
11.318191,0.13734
11.24792,0.117684
11.09456,0.115643
10.74823,0.086598
10.75278,0.096801
10.65363,0.086615
11.13268,0.131129
11.22151,0.135413
11.591181,0.11446
11.317981,0.112739
11.051281,0.11226
11.447579,0.113657
11.23135,0.113174
10.85973,0.097205
11.207529,0.066078
11.528701,0.192353
11.57716,0.17633
10.64711,0.081804
11.134549,0.045879
10.739209,0.082615
11.34516,0.081701
10.60684,0.08308
10.568201,0.082394
11.203569,0.080207
11.088921,0.146922
10.668901,0.087323
11.01944,0.080125
10.86355,0.095905
10.74833,0.079472
10.83208,0.078668
11.00844,0.121866
11.30491,0.093699
11.354409,0.138349
11.68758,0.112312
11.15855,0.112641
11.348901,0.156688
11.313861,0.184809
11.280399,0.140125
11.476719,0.16019
10.66409,0.098322
10.92857,0.098677
11.424449,0.097658
11.18509,0.141975
11.153741,0.142224
11.0951,0.110513
10.82019,0.095931
11.21371,0.148153
10.81713,0.045109
10.82403,0.053467
11.128242,0.147975
11.34704,0.141571
11.015941,0.053617
11.00009,0.148006
10.99572,0.06868
10.79704,0.04374
11.151071,0.111663
10.54578,0.080932
11.12965,0.142063
11.09846,0.143246
11.076989,0.123276
11.193501,0.141103
10.60091,0.065856
11.0168,0.123798
11.08529,0.1412
10.76371,0.07172
11.574659,0.075702
11.225921,0.123898
11.50206,0.149711
10.82853,0.072645
10.503901,0.071957
11.33932,0.172516
11.47834,0.116958
11.168211,0.116891
11.4456,0.070678
10.621731,0.052699
11.128191,0.116075
11.19066,0.104558
10.61264,0.084555
11.08462,0.132016
11.2388,0.129993
10.693861,0.074862
10.834599,0.0518
11.318251,0.0771
10.96302,0.077603
11.29176,0.171394
11.25361,0.132896
11.191391,0.133413
11.39993,0.155049
11.108861,0.117567
11.015921,0.117767
11.025941,0.071734
11.34633,0.1596
11.10503,0.076734
11.10509,0.128795
11.18908,0.065834
11.325661,0.070587
11.12637,0.068123
11.59416,0.177125
11.489389,0.076015
10.624041,0.064123
11.00855,0.07531
11.62705,0.178711
10.964489,0.067872
11.02045,0.141915
10.65475,0.025751
11.597381,0.172809
11.271399,0.167704
11.42348,0.177269
11.35638,0.169257
10.949639,0.082518
10.81793,0.082841
11.10027,0.134829
11.632509,0.177627
11.01345,0.133625
11.11987,0.082642
11.05756,0.120214
11.29406,0.082659
10.90068,0.083058
11.404539,0.132821
11.46803,0.132769
11.51157,0.174773
10.99072,0.078756
10.6866,0.079664
11.15448,0.077905
11.036649,0.140731
11.693941,0.051318
11.028251,0.078855
10.935489,0.07757
11.39045,0.177931
11.2151,0.132415
11.49208,0.187936
10.6991,0.098737
10.60703,0.087589
11.55533,0.186885
11.079,0.082533
10.91366,0.084541
10.71507,0.09228
11.404689,0.187741
10.54121,0.053624
11.220469,0.125413
11.29635,0.159766
